Horodateur,Numéro du créneau,Nombre de créneau,Format du créneau,Lieu,Photo de l'orateur,Prénom Nom,Intitulé de poste,Entreprise,Adresse Mail,Lien profil LinkedIn,Type d'orateur,Nombre max. de participants,Titre de la session,Description de la session,Track
18/05/2026 08:15:00,1,1,Pause,Hall Admin,,,,,,,,,Accueil des participants - Café de bienvenue,Description à venir,
18/05/2026 08:45:00,2,1,Plénière,Amphi 1,,,,,,,Orateur,,Mot des organisateurs,Description à venir,Track 1
18/05/2026 09:00:00,3,1,Keynote,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Jean Luc Lambert,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Keynoteur,,"Keynote 1 : Mes chers collègues, par pitié, ne massacrons plus les enseignements de gestion de projet !",Description à venir,Track 1
18/05/2026 09:55:00,4,1,Conférence,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Yannick Ameur,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,"Le vent tourne, comment naviguez vous sur l'agilité ?",Description à venir,Track 1
18/05/2026 09:55:00,4,1,Conférence,Salle -TC 6,Unknown-speaker-man - Aluxar 4.png,Thomas Chopin,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,Apprendre Sans Frontières : Un voyage entre Education et Agilité,Description à venir,Track 2
18/05/2026 09:55:00,4,1,Conférence,Salle -TC 7,Unknown-speaker-man - Aluxar 4.png,Camille Sanchis,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,"Créer des sites, logiciels et applis à impact : de l'Agilité au Product Management",Description à venir,Track 3
18/05/2026 09:55:00,4,2,Atelier,Salle -TC 8,Unknown-speaker-man - Aluxar 4.png,Hélène Surgot,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,20,Des réunions qui respirent et qui donnent envie de revenir (Atelier long),Description à venir,Track 3
18/05/2026 10:45:00,5,1,Pause,Hall Admin,,,,,,,,,Pause café,,
18/05/2026 11:10:00,6,1,Conférence,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Thomas Clavier,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,L'art de la motivation,Description à venir,Track 1
18/05/2026 11:10:00,6,1,Conférence,Salle -TC 6,Unknown-speaker-man - Aluxar 4.png,Maxime Sciare,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,"De l'oubli à la maitrise, comment gérer ses connaissances ?",Description à venir,Track 2
18/05/2026 11:10:00,6,1,Conférence,Salle -TC 7,Unknown-speaker-man - Aluxar 4.png,Hervé Guennec et Alexandre Huete,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,20,"Les Aventuriers du Manifeste Perdu, votre escape game de l'agilité",Description à venir,Track 3
18/05/2026 12:00:00,7,1,Pause,-,,,,,,,,,Pause déjeuner,Description à venir,
18/05/2026 13:30:00,8,1,Keynote,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Julien Fallet,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Keynoteur,,Keynote 2 : Se (re)connecter à l'énergie des pionniers... manifeste pour un travail plus vivant.,Description à venir,Track 1
18/05/2026 14:25:00,9,1,Conférence,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Philippe Paulus,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,TransformationAgile.com - Les pratiques agiles pour l'entreprise : l'art de réussir,Description à venir,Track 1
18/05/2026 14:25:00,9,1,Conférence,Salle -TC 6,Unknown-speaker-man - Aluxar 4.png,Nicolas Masztaler et Thomas Le Gac,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,Peut-on rester agile avec des équipes en distanciel ?,Description à venir,Track 2
18/05/2026 14:25:00,9,1,Conférence,Salle -TC 7,Unknown-speaker-man - Aluxar 4.png,Françoise Bossuet,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,"Comment diminuer voire faire disparaitre une émotion gênante (peur, colère, tristesse...)",Description à venir,Track 3
18/05/2026 14:25:00,9,2,Atelier,Salle -TC 8,Unknown-speaker-man - Aluxar 4.png,Gaëtan Beuve,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,12,Le jeu Win Your Star (Serious game) (Atelier long),Description à venir,Track 3
18/05/2026 15:15:00,10,1,Pause,Hall Admin,,,,,,,,,Pause café,,
18/05/2026 15:30:00,11,1,Conférence,Amphi 1,Unknown-speaker-man - Aluxar 4.png,Christophe Keromen,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,L'agilité peut-elle être une culture d'entreprise ?,Description à venir,Track 1
18/05/2026 15:30:00,11,1,Conférence,Salle -TC 6,Unknown-speaker-man - Aluxar 4.png,Vincent Rossignol,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,Comment mesurer la performance d'une équipe Agile ?,Description à venir,Track 2
18/05/2026 15:30:00,11,1,Conférence,Salle -TC 7,Unknown-speaker-man - Aluxar 4.png,Jean-Baptiste LE GOFF,Product Owner,Elypsis,contact@agilelaval.fr,https://www.linkedin.com/,Orateur,40,"Retro, oui, mais laquelle",Description à venir,Track 3
18/05/2026 16:30:00,12,1,Plénière,Amphi 1,,,,,,,Orateur,40,Mot de clôture,Description à venir,Track 1
